row ID,row m/z,row retention time,row identity (main ID),120.mzXML Peak area,108.mzXML Peak area,114.mzXML Peak area,116.mzXML Peak area,122.mzXML Peak area,124.mzXML Peak area,138.mzXML Peak area,136.mzXML Peak area,142.mzXML Peak area,144.mzXML Peak area,146.mzXML Peak area,140.mzXML Peak area,
78,469.06875538921423,1.2863139,Cromoglicic acid: 0.447,471.87015,0,443.72177,0,450.35547,0,454.1343,471.84882,0,0,528.24524,0,
79,884.114949362729,1.2877792,Malyl-CoA: 0.303,194.39334,0,0,0,196.72643,0,207.21948,203.24164,0,0,0,0,
80,283.0185489072303,1.2884634,,0,127.538704,374.75327,170.91435,0,611.46796,222.4067,262.55905,325.02246,441.3815,279.4044,434.2581,
81,324.05948393533157,1.2911986,Cytidine monophosphate: 0.963,99.374664,1092.228,800.065,170.52667,482.78528,836.6995,964.7971,935.85114,407.0829,827.04047,898.5481,580.15216,
82,789.1654423490119,1.2918361,,373.2641,0,386.97263,0,204.48969,0,346.28574,347.47205,0,0,354.76657,0,
83,132.0769160632597,1.2922333,Creatine: 0.959,8975.62,10780.508,53683.59,7058.658,37460.47,40435.69,70171.23,50521.66,15437.727,45746.457,57918.67,95684.78,
84,116.07069455383798,1.2925777,L-Proline: 0.974,608.4106,1956.139,5742.814,1390.7279,2972.357,5178.5796,6958.8477,5431.528,1781.2097,4311.372,5816.4116,4051.728,
85,361.1658153754169,1.2925764,Lepidine C: 0.992,1091.476,2316.1243,6684.6665,2988.4026,3552.7385,3065.3062,6245.7295,5277.128,1609.8938,3262.7246,6287.1826,6304.05,
87,648.0937331589414,1.2943357,,225.37607,240.52122,226.19138,0,228.49725,0,281.75412,332.40378,0,0,251.07289,0,
88,553.1468770043988,1.2950313,1-Hydroxy-3-methoxy-7-primeverosyloxyxanthone: 0.500,234.54411,0,313.11667,198.43161,0,201.86092,282.77908,307.69727,200.02818,0,317.02002,0,
89,276.1209287294594,1.2974583,Norophthalmic acid: 0.769,0,210.07135,0,165.99054,0,679.6797,0,0,236.37361,557.35333,0,313.61935,
90,275.17158344013717,1.2978251,Glutaminyllysine: 0.976,0,254.79622,1317.698,0,1046.521,1419.0789,1505.47,1323.4911,822.111,1642.7903,1761.9447,2347.522,
91,657.1237759394018,1.2990055,Gossypetin 8-glucuronide 3-glucoside: 0.697,368.4179,0,370.60086,237.25706,0,0,296.28122,293.76285,0,0,375.1645,0,
92,428.03710532244264,1.3032708,"Adenosine 3',5'-diphosphate: 0.968",5786.7344,4092.604,5370.474,3937.0098,5632.0083,3579.888,4756.3433,4668.091,4476.9165,4055.0225,5479.7446,4013.9834,
94,752.0708909648473,1.3063277,,653.82355,0,583.11053,0,649.4839,0,540.35803,534.34656,0,0,636.36285,0,
95,457.1682574846821,1.3065751,,0,0,0,343.73648,645.60114,539.65155,790.4293,825.4185,0,514.0537,1073.2009,808.15894,
98,144.10216301083915,1.3087932,Proline betaine: 0.940,6179.9,8224.171,19147.742,21809.455,16683.54,20989.484,21540.12,20892.473,16487.166,23139.852,28347.172,23953.094,
99,549.9720695867278,1.3098291,,381.93384,594.2175,620.4873,659.0823,444.95044,399.26627,331.25226,507.10867,679.925,784.2417,688.96027,801.4667,
100,230.21746902237197,1.3105854,,0,0,4943.5493,0,1915.3934,2120.4526,3594.8645,3933.745,0,2225.994,4493.286,2310.665,
101,233.09574478170185,1.3111999,1-Methoxypyrene: 0.950,0,0,365.22443,0,0,0,306.48026,333.97205,0,0,361.0146,0,
102,230.09675005903614,1.3112084,Ergothioneine: 0.859,29812.027,16040.562,72462.12,43045.52,34511.82,39335.453,58297.37,61727.8,30021.531,39332.2,67939.22,41819.727,
104,127.032497960743,1.3129348,2-(Methylthio)pyrazine: 0.986,2479.8806,1264.9747,5848.1006,1746.233,2760.6238,3146.8284,4719.64,5053.684,2366.8352,3140.734,5360.587,3281.5098,
105,162.11252103090013,1.3136277,L-Carnitine_conf: 0.906,9099.611,2392.038,11360.44,2608.2812,13182.363,3816.436,11592.709,12534.152,2650.9854,3815.55,13012.665,3330.1873,
106,268.0513133431833,1.313625,,187.42188,223.19266,604.13214,315.816,261.48715,592.12604,486.406,505.37885,438.4512,574.30396,513.151,507.1117,
107,459.1844479587751,1.3143152,Gein: 0.881,7276.831,1585.6616,9697.75,3359.552,2403.1614,2787.8447,5952.3228,6570.534,3262.5618,2515.5588,8698.523,2746.817,
