"Protein.IDs","Gene.names","LFQ.intensity_Day-1_Rep1","LFQ.intensity_Day-1_Rep2","LFQ.intensity_Day-1_Rep3","LFQ.intensity_Day0_Rep1","LFQ.intensity_Day0_Rep2","LFQ.intensity_Day0_Rep3","LFQ.intensity_Day1_Rep1","LFQ.intensity_Day1_Rep2","LFQ.intensity_Day1_Rep3","LFQ.intensity_Day2_Rep1","LFQ.intensity_Day2_Rep2","LFQ.intensity_Day2_Rep3","LFQ.intensity_Day3_Rep1","LFQ.intensity_Day3_Rep2","LFQ.intensity_Day3_Rep3","LFQ.intensity_Day4_Rep1","LFQ.intensity_Day4_Rep2","LFQ.intensity_Day4_Rep3"
"A0AVT1","UBA6",2589150000,2560160000,2499750000,2549830000,2906620000,2533310000,2731750000,2606410000,2650460000,2650360000,2509360000,2392300000,2381880000,2265650000,2204430000,2373600000,2213540000,2470830000
"A0FGR8","ESYT2",2162540000,2012490000,2071030000,2363300000,2525810000,2494340000,2305130000,2450760000,2393810000,2313480000,2383130000,2404190000,2242210000,2272890000,2456550000,2139690000,2199780000,2219560000
"A0PJZ3","GXYLT2",11937000,NA,NA,NA,NA,NA,NA,19762000,37697000,74819000,59984000,47690000,62230000,47891000,40649000,86933000,76043000,98266000
"A1L0T0","ILVBL",853910000,781230000,804570000,916260000,853680000,892520000,828240000,850880000,918820000,877630000,904070000,902830000,832920000,885140000,939990000,859220000,799990000,817990000
"A1X283","SH3PXD2B",856790000,944270000,814410000,832170000,895090000,761400000,762630000,810290000,685750000,777220000,672390000,667160000,663690000,674980000,646700000,658550000,659960000,725850000
"A2A3N6;Q99755","PIPSL;PIP5K1A",66855000,81471000,40492000,15022000,56830000,NA,21727000,19850000,NA,46493000,37402000,10844000,NA,NA,NA,NA,NA,NA
"A2RRP1","NBAS",287195000,221922000,228902000,273548000,266561000,285173000,253510000,248868000,260775000,251629000,269945000,296572000,237784000,281220000,294952000,306730000,280797000,292954000
"A4UGR9","XIRP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,36378000,26099800,20320300,127344000,130869000,156917000,96439000,121957000,120027000
"A5YKK6","CNOT1",1015140000,1052860000,1064880000,1124880000,1124650000,1006840000,1037900000,992810000,1113930000,1060250000,1039970000,1076730000,957540000,969180000,1004500000,931870000,893850000,849740000
"A6NDG6","PGP",294673000,361630000,379090000,321651000,253312000,365310000,368800000,345640000,361420000,292389000,370750000,380620000,358346000,326110000,392180000,416440000,316918000,366300000
"A6NDU8","C5orf51",38201000,94560000,132381000,42830000,85712000,NA,87911000,132487000,38124000,43611000,135217000,47151000,82827000,NA,39559000,33796000,NA,35533000
"A6NFI3","ZNF316",NA,1931600,NA,1807800,NA,6237800,5734500,6005500,7297300,4075000,5696200,5115200,3584800,9108100,8414200,4169800,10332700,9738500
"A6NHR9","SMCHD1",356620000,414120000,367080000,353710000,312276000,355810000,387110000,371030000,399170000,298463000,297237000,360340000,274163000,224718000,218743000,176090000,213443000,208598000
"A7E2V4","ZSWIM8",1142600,9149200,9909500,11713900,3585210,7519600,8084900,2810100,8216000,1550100,7595100,11072700,1855800,10249400,9485900,4411300,9555200,6252000
"A7E2Y1","MYH7B",66658000,20189000,57073000,39009000,59900000,40616000,44633000,58291000,39513000,57322000,38983000,40211000,51913000,52148000,50583000,60534000,33330000,47637000
"A8CG34;Q6PJE2;A6NF01","POM121C",131995000,109525000,101470000,NA,76422000,105761000,122003000,184471000,62650000,166875000,131260000,157292000,54498000,94842000,NA,151902000,141447000,123995000
"C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3","WASH3P;WASH2P;WASH1;WASH4P",251016000,273222000,253596000,281702000,318280000,273947000,344130000,354979000,284375000,342488000,282033000,227424000,315810000,275563000,257479000,322938000,307915000,327808000
"C9JLW8","FAM195B",317730000,312416000,306884000,313044000,336050000,344350000,219815000,248540000,217375000,206109000,269513000,269388000,253276000,246354000,215633000,228394000,1.37e+08,229963000
"E7EW31","PROB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,45931000,NA,NA,175505000,213586000,159131000,39291000,41448000,44284000
"E9PAV3;Q13765;Q9BZK3","NACA",8177600000,9519900000,8620600000,7188800000,8188300000,7247800000,4954200000,5013100000,4602600000,2.1111e+10,20128600000,17596800000,3.9024e+10,3.5144e+10,3.2562e+10,3.6878e+10,3.493e+10,3.8644e+10
"L0R6Q1","SLC35A4",211073000,197834000,222364000,211138000,153158000,226348000,200143000,194492000,198749000,91369000,108910000,171841000,173115000,103208000,46027000,161848000,167585000,110436000
"O00116","AGPS",1638610000,1701130000,1566240000,1720120000,1942310000,1773530000,1913910000,1898320000,1965960000,2078810000,2123330000,1963360000,2036880000,1933420000,2073550000,2130660000,2074260000,2151890000
"O00139","KIF2A",445720000,435920000,480550000,398730000,400280000,346130000,390930000,411360000,380800000,501360000,509140000,401880000,585580000,513900000,470280000,574090000,553450000,614360000
"O00148","DDX39A",1000620000,898310000,916590000,847860000,935140000,789690000,768940000,784460000,859210000,767690000,724850000,531860000,601050000,509710000,446730000,516690000,466380000,534460000
"O00151","PDLIM1",3469900000,3445900000,3235970000,3189600000,3560400000,3328500000,3.545e+09,3490100000,3.1e+09,3052770000,2971660000,2559390000,2820640000,2483050000,2459990000,3210700000,3110300000,3448700000
"O00154","ACOT7",2077090000,1781940000,1.77e+09,1911080000,2100320000,1791490000,1544980000,1571250000,1539450000,1503710000,1481920000,1267290000,1610330000,1313890000,1526770000,1491060000,1335660000,1462280000
"O00159","MYO1C",8646400000,8495200000,8147300000,8846400000,9.211e+09,8446700000,10397900000,10348900000,1.0302e+10,10790600000,10332800000,9811200000,9603200000,8.858e+09,8665100000,9513700000,9053700000,10093500000
"O00161","SNAP23",442390000,421360000,489770000,398880000,366630000,321089000,484480000,438630000,391820000,343180000,389150000,396370000,340170000,312437000,280906000,316418000,285189000,256479000
"O00170","AIP",1382130000,1278200000,1226900000,1399360000,1499400000,1299400000,1305710000,1377620000,1243150000,1218700000,1218740000,1061640000,1045690000,1022150000,1.03e+09,968770000,1029910000,998790000
"O00178","GTPBP1",288778000,340890000,380270000,389010000,364940000,434640000,361840000,359880000,394110000,403280000,421400000,422520000,442040000,449650000,449740000,402010000,411480000,429870000
"O00186","STXBP3",313981000,325163000,360680000,331620000,294404000,279133000,349976000,362760000,383390000,285714000,277298000,267746000,234979000,216974000,230637000,251044000,211687000,231880000
"O00193","SMAP",533230000,425450000,500510000,445980000,350280000,472730000,527540000,577020000,533330000,452920000,395871000,430800000,242619000,254045000,212012000,244516000,239847000,228728000
"O00203;Q13367","AP3B1",2868870000,2858810000,2770620000,2922840000,2860510000,2827280000,2579550000,2533250000,2688950000,2589600000,2637690000,2673100000,2589500000,2473430000,2602750000,2318280000,2370050000,2193430000
"O00217","NDUFS8",93690000,53373000,54896000,126551000,112140000,109977000,138812000,142099000,133156000,129154000,112518000,118759000,140092000,126392000,140029000,142809000,175787000,152114000
"O00231","PSMD11",9209100000,9387800000,9028500000,8290100000,8517900000,7641700000,8737100000,8621900000,8367600000,8783200000,8788700000,7448700000,9.26e+09,8225600000,8295900000,9319700000,8637800000,9.05e+09
"O00232","PSMD12",2856040000,2800690000,2703710000,2826900000,2856630000,2808690000,2737370000,2647940000,2797530000,2696230000,2814790000,2914300000,2902290000,2932130000,2837810000,3141980000,2991040000,3001310000
"O00233","PSMD9",831310000,754670000,906120000,751080000,957380000,869180000,797510000,879030000,749950000,849060000,855140000,824060000,877300000,835390000,713220000,806100000,753770000,774570000
"O00244","ATOX1",1064960000,1366780000,1573340000,1536810000,1579420000,1711050000,1414760000,1486700000,1407860000,1244710000,1259770000,1360430000,1316660000,1192320000,1315870000,1447270000,1178810000,1217440000
"O00264","PGRMC1",1931090000,2229100000,2371160000,2616090000,2864650000,2423930000,2607700000,2647690000,2423850000,2615650000,2354110000,1937330000,2115200000,1828350000,1954070000,2153690000,1897210000,2026610000
"O00267","SUPT5H",955550000,959480000,912260000,928390000,1030990000,850330000,963900000,944080000,909610000,877970000,999330000,846380000,912810000,821500000,779110000,762650000,735180000,723680000
"O00273","DFFA",763530000,713830000,728350000,756220000,716950000,791980000,760260000,671580000,778100000,703270000,669390000,649990000,575150000,579800000,574290000,583320000,536270000,575160000
"O00291","HIP1",244020000,203764000,260883000,462680000,504790000,412230000,787550000,796640000,745690000,1858460000,1676380000,1595570000,1959600000,1860740000,1761930000,1278210000,1127940000,1296100000
"O00299","CLIC1",10542600000,10950200000,11203900000,9905400000,9935300000,8888500000,11576900000,10952600000,10295300000,9572500000,9666600000,8537300000,7.66e+09,7365200000,7172100000,7248800000,6820200000,7701400000
"O00303","EIF3F",4939100000,4765100000,5018900000,4107400000,4523200000,4168100000,3.834e+09,4011100000,3757800000,4030600000,3927800000,3430400000,4266900000,3974500000,3811400000,4058800000,3827400000,4269500000
"O00330","PDHX",174107000,145700000,142414000,88358000,168449000,183667000,181598000,205301000,118962000,200480000,182837000,193920000,241290000,177133000,184386000,202456000,193781000,217858000
"O00399","DCTN6",421620000,385560000,369070000,437950000,459480000,410910000,422140000,364300000,380760000,433050000,401950000,321740000,493440000,352350000,421680000,386280000,401070000,387967000
"O00401","WASL",174665000,135331000,133944000,115322000,188316000,130303000,172444000,196477000,163637000,163874000,169415000,184517000,156674000,49742000,140106000,81389000,165048000,41924000
"O00410","IPO5",15775500000,14351700000,14303300000,14157700000,15205500000,14935600000,13629900000,13725200000,13409300000,13802500000,13145500000,12995700000,12693300000,12031500000,1.2092e+10,11125400000,11316600000,11913400000
"O00422","SAP18",276856000,84592000,148330000,NA,220970000,154250000,60844000,343260000,228530000,245510000,225170000,450450000,200948000,172270000,47465000,116480000,165053000,179900000
"O00423","EML1",23763000,NA,NA,81547000,NA,27281000,115796000,108076000,112259000,106944000,102031000,61511000,95379000,30942000,69640000,62149000,36692000,73847000
"O00425","IGF2BP3",2819780000,2754380000,2762170000,2672900000,2820550000,2501390000,2316140000,2364250000,2358140000,1859980000,1861120000,1736870000,1622990000,1485870000,1505360000,1304490000,1305580000,1.289e+09
"O00429","DNM1L",3152020000,3162090000,3026400000,3102900000,3268800000,3204700000,3388700000,3227580000,3191800000,2963990000,2870350000,2862330000,2592810000,2525770000,2608530000,2400680000,2374970000,2173170000
"O00442","RTCA",550230000,522280000,563730000,523080000,489330000,595940000,562520000,500460000,611340000,575090000,542080000,809340000,549090000,619760000,755050000,637760000,701690000,570970000
"O00459;Q92569","PIK3R2",16994000,43159000,21006000,19669000,85515000,14532000,15548000,NA,18820000,42718000,49953000,20342000,17365000,38061000,NA,NA,NA,NA
"O00461","GOLIM4",640100000,593680000,588380000,681350000,597300000,561530000,309175000,284860000,274219000,245905000,277450000,261878000,405360000,322680000,293026000,385090000,341238000,431640000
"O00468","AGRN",39038000,NA,NA,82027000,NA,NA,NA,NA,75030000,94478000,52176000,107228000,267965000,237190000,291339000,378780000,296428000,302993000
"O00469","PLOD2",8572800000,8120300000,7973300000,8400700000,8984400000,8.612e+09,5635500000,5562200000,5.539e+09,4064800000,3640100000,3.485e+09,3018010000,2784020000,3014490000,3243100000,3378700000,3395400000
"O00471","EXOC5",258469000,287609000,245133000,216186000,241896000,276599000,250656000,248619000,226948000,276198000,260099000,250178000,242423000,283254000,258170000,296930000,308896000,322730000
"O00479","HMGN4",36342000,18899000,35034000,133687000,93246000,120860000,257790000,234478000,160107000,260360000,121508000,157340000,244841000,168520000,146878000,192098000,131118000,96417000
"O00483","NDUFA4",642790000,690090000,722440000,974250000,807390000,873760000,956320000,977990000,1092350000,927530000,1062750000,1058350000,845930000,764840000,742460000,647320000,603700000,662470000
"O00487","PSMD14",2800280000,2517610000,2432700000,2548970000,2728920000,2526320000,2655380000,2549720000,2642490000,2767530000,2898950000,2289490000,2960190000,2369280000,2504520000,3037460000,2844620000,3045730000
"O00499","BIN1",1944400000,1618840000,1683910000,2554820000,2563540000,2457620000,3243900000,3158200000,3108100000,6971800000,6.524e+09,6854800000,12091600000,11670700000,10918100000,1.2473e+10,12072700000,13092600000
"O00505","KPNA3",1592640000,1534600000,1684530000,1436330000,1533730000,1520710000,1286220000,1220790000,1355920000,1200880000,1123050000,1222050000,1107790000,1162690000,1256210000,1164980000,1181640000,1108320000
"O00506","STK25",196745000,204527000,185350000,127304000,188536000,152938000,158605000,157448000,133287000,139832000,162704000,161772000,165390000,86944000,87591000,133275000,88905000,191346000
"O00534","VWA5A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50909000,83758000,123721000,114490000,148091000,188078000,138631000
"O00541","PES1",750960000,641010000,701740000,515330000,677930000,559480000,586900000,604040000,624630000,706480000,640840000,550190000,593220000,537970000,451260000,422260000,407600000,472580000
"O00560","SDCBP",1.249e+09,1066880000,1093210000,776070000,979200000,721300000,604750000,601980000,631760000,599610000,575020000,521930000,587950000,523050000,552230000,487480000,532510000,541190000
"O00566","MPHOSPH10",302518000,272521000,256849000,229328000,290878000,246751000,243519000,246314000,238482000,343110000,262804000,192145000,285552000,125688000,248808000,223707000,231314000,165042000
"O00567","NOP56",4.529e+09,4618100000,4517100000,4858700000,4673600000,4653400000,5426100000,5226900000,5462200000,5481500000,5330100000,5288800000,4946800000,4907100000,4975600000,4534800000,4655100000,4489200000
"O00571","DDX3X",8573600000,8.747e+09,7823400000,7711900000,8.561e+09,7345500000,6498300000,6666400000,6685400000,7036500000,6962200000,6076600000,6757100000,5998900000,6.316e+09,6035600000,5834300000,6300700000
"O00592","PODXL",1259890000,1592360000,1856380000,1463780000,1885900000,1161320000,748790000,866380000,457290000,544500000,501290000,446664000,314680000,352150000,443950000,321434000,183526000,411100000
"O00622","CYR61",145211000,280524000,301093000,74519000,49702000,83211000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O00625","PIR",87185000,63645000,67901000,46683000,45209000,35412000,66395000,67737000,53593000,49572000,54746000,32561000,74769000,47738000,48557000,42747000,49215000,54579000
"O00629","KPNA4",2741710000,2429680000,2616490000,2197530000,2327870000,2201650000,1887460000,1960710000,2063890000,2010390000,1956320000,2307980000,2066560000,2167530000,2400790000,1998250000,2138380000,1963510000
"O00635","TRIM38",24498000,34088000,31146000,15957000,NA,13170000,47915000,16266000,29432000,8430700,30902000,NA,21028000,NA,NA,39698000,25747000,28876000
"O00743","PPP6C",280399000,396050000,305995000,303560000,284206000,280551000,390928000,387230000,338826000,288413000,400367000,322790000,354153000,4.05e+08,409610000,400670000,407950000,421720000
"O00754","MAN2B1",507660000,574740000,514570000,656360000,611970000,574140000,812020000,877940000,807990000,797690000,898680000,812630000,863560000,730060000,762660000,760870000,671940000,869750000
"O00762","UBE2C",533130000,614100000,697150000,535220000,467070000,686010000,NA,NA,NA,NA,NA,NA,NA,67397000,NA,78925000,NA,NA
"O00763","ACACB",102061000,30183000,33125000,32455000,52172000,NA,35865000,31348000,30703000,NA,33124000,NA,NA,NA,NA,NA,NA,NA
"O00764","PDXK",867890000,744040000,681710000,957300000,986290000,1063140000,1191740000,1197530000,1130720000,1075050000,1242570000,1166720000,1208270000,1322040000,1115610000,1370410000,1496110000,1336730000
"O14494","PPAP2A",NA,NA,NA,18575600,20823600,19382300,85844000,57529000,70757000,81512000,83437000,46757000,88905000,36757000,44010000,40296000,46214000,41907000
"O14495","PPAP2B",60437000,NA,36897000,105731000,126239000,34547000,NA,NA,NA,NA,16098000,NA,NA,NA,NA,NA,NA,NA
"O14497","ARID1A",258620000,219506000,205744000,198352000,221666000,179451000,163727000,173718000,187744000,155561000,180904000,144018000,166009000,80144000,NA,NA,58576000,38403000
"O14530","TXNDC9",1185020000,1047090000,1185530000,880810000,970230000,906660000,606480000,609670000,596840000,698360000,664530000,553400000,640630000,674370000,529780000,550570000,517370000,575060000
"O14545","TRAFD1",81366000,154822000,146103000,87333000,145366000,118253000,184983000,132823000,141551000,191056000,210190000,234767000,242700000,140490000,92235000,294593000,148156000,196351000
"O14548","COX7A2L",NA,92665000,119115000,103718000,NA,146469000,128559000,139242000,124434000,42232000,68546000,148843000,25864000,108248000,114525000,49314000,89984000,NA
"O14558","HSPB6",NA,NA,NA,NA,20734000,NA,NA,NA,NA,73167000,27203000,30800000,197653000,179312000,139534000,253443000,222965000,296584000
"O14561","NDUFAB1",512320000,440530000,483620000,639830000,670300000,550340000,806190000,833420000,750210000,950080000,839900000,691710000,818520000,729890000,756980000,908500000,819460000,798250000
"O14562","UBFD1",170565000,208365000,273815000,281490000,3.46e+08,260254000,276164000,316166000,283206000,316662000,268053000,316900000,328622000,224829000,270489000,298584000,284133000,306575000
"O14578","CIT",169954000,155999000,173906000,61347000,167082000,77306000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O14579","COPE",2896080000,3223900000,3235500000,2887200000,2932850000,3102160000,2523590000,2389010000,2485650000,2314340000,2236530000,2254790000,2290570000,2258540000,2285180000,2113970000,2184940000,2087610000
"O14613","CDC42EP2",25167000,NA,NA,NA,NA,NA,32395000,61099000,24552000,93579000,91888000,85122000,93419000,NA,NA,29895000,NA,50613000
"O14617","AP3D1",2233940000,2089960000,1940570000,2381070000,2542460000,2032430000,2319390000,2428960000,2350490000,2493690000,2464960000,2139580000,2386440000,1998230000,2187090000,2314500000,2018460000,2256550000
"O14618","CCS",84433000,129217000,174118000,155097000,187944000,160822000,194300000,122501000,178233000,224258000,219280000,193444000,201340000,208928000,197811000,200564000,186765000,218064000
"O14639","ABLIM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,53321000,60683000,NA,148724000,105682000,76035000,147068000,111889000,129707000
"O14641","DVL2",62624000,65011000,89652000,96272000,24921000,26866000,103568000,97111000,63791000,35845000,29213000,65465000,30090000,88352000,57399000,NA,54765000,NA
"O14653","GOSR2",221576000,185690000,160598000,194406000,252129000,193437000,112138000,156791000,160393000,208152000,186858000,91384000,241636000,185927000,201419000,213111000,291779000,219869000
"O14656","TOR1A",29262000,NA,NA,110124000,68191000,NA,33255000,22363000,35395000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O14672","ADAM10",922060000,944170000,883780000,930580000,863620000,809600000,1058760000,1084320000,1020130000,1106010000,1101890000,953130000,1015230000,1002200000,850850000,861090000,922830000,980050000
"O14737","PDCD5",1218380000,1190540000,1188010000,795210000,1309590000,765120000,989900000,1073430000,765770000,1004750000,9.55e+08,569430000,1114650000,742910000,592520000,960870000,837540000,9.64e+08
"O14744","PRMT5",2528910000,2415120000,2361760000,2333380000,2322430000,2254640000,2423920000,2381280000,2466340000,2498740000,2541900000,2399240000,2595540000,2438300000,2442670000,2734680000,2531490000,2609890000
"O14745","SLC9A3R1",2410770000,2292490000,2549570000,2514250000,2634180000,2620080000,2742250000,2620710000,2325640000,2158990000,2179040000,1959730000,1838750000,1805790000,1862970000,1770610000,1454890000,1829440000
"O14746","TERT",6445400000,6095500000,6260700000,4450100000,4153300000,4.028e+09,1011750000,933500000,854560000,589370000,631930000,592720000,421640000,502550000,468850000,473440000,338586000,375586000
"O14763","TNFRSF10B",121644000,133749000,124156000,77336000,94509000,105818000,66114000,60765000,103515000,26902000,NA,77002000,NA,NA,NA,NA,NA,NA
"O14773","TPP1",916540000,978810000,908880000,958460000,1120530000,1110510000,1819940000,1645360000,1678290000,1991020000,2189730000,1976180000,1841280000,1886940000,1857620000,1901650000,1820750000,1807470000
"O14776","TCERG1",946550000,980590000,996170000,996460000,873720000,949620000,1300220000,1289300000,1236220000,1141610000,1139870000,1117460000,1022390000,1019870000,1036800000,918270000,946660000,1025320000
"O14777","NDC80",197306000,209104000,269575000,198864000,192522000,221422000,149142000,90976000,162644000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O14786","NRP1",1273190000,1774900000,1469710000,1223950000,1398400000,1704390000,735300000,631050000,777220000,460480000,424692000,539690000,395418000,202768000,236700000,83987000,69512000,128632000
"O14787","TNPO2",297306000,311144000,318775000,324880000,342400000,303424000,368813000,378880000,389040000,346420000,352310000,336913000,401480000,349890000,394320000,357140000,321298000,328700000
"O14807","MRAS",NA,NA,NA,NA,NA,NA,89246000,110352000,44563000,157521000,181740000,41360000,133927000,84200000,28017000,149659000,145545000,123499000
"O14818","PSMA7",6002500000,6433300000,6274300000,5550200000,6540100000,5637100000,6528900000,6377400000,5993600000,6536400000,6615200000,5061200000,6.504e+09,6017700000,5872500000,6640800000,6268700000,6795200000
"O14828","SCAMP3",743020000,657380000,670190000,599320000,699930000,604450000,561890000,502620000,454310000,583990000,551220000,473830000,645380000,537460000,580580000,549130000,490250000,558510000
"O14874","BCKDK",330870000,375280000,292493000,267539000,338850000,277023000,183892000,255116000,273415000,338230000,338883000,284365000,435250000,353856000,307348000,314230000,288830000,302693000
"O14879","IFIT3",31559000,18730000,NA,15186000,15839000,13309000,NA,NA,26724000,23191000,33704000,57042000,NA,14877000,NA,15320000,NA,NA
"O14880","MGST3",384920000,469990000,122940000,503900000,227550000,668630000,461070000,453500000,377610000,310410000,519300000,680660000,383450000,486150000,518290000,454700000,537280000,416940000
"O14907","TAX1BP3",1711300000,1514530000,1557170000,985050000,1123500000,956300000,1257070000,1203180000,1019520000,994830000,936800000,741640000,740520000,490060000,500500000,651990000,532310000,677400000
"O14908;Q8TF64","GIPC1",1506720000,1508230000,1498680000,1368640000,1467600000,1297310000,1413310000,1407070000,1246470000,1346970000,1285070000,967980000,1.355e+09,1042810000,1004320000,1229890000,1146040000,1304190000
"O14920","IKBKB",178586000,154175000,145398000,162715000,181492000,134192000,149833000,160798000,150813000,132836000,159562000,145555000,97033000,116309000,117298000,139537000,119794000,115670000
"O14925;Q5SRD1","TIMM23;TIMM23B",NA,NA,NA,48883000,22177000,21808000,NA,NA,NA,29500000,82242000,46195000,NA,78643000,80535000,NA,55318000,NA
"O14929","HAT1",1182240000,1404390000,1194700000,1278440000,1446510000,1165490000,715450000,879500000,876670000,568290000,633440000,593480000,326249000,412270000,417960000,262879000,NA,211615000
"O14936","CASK",149481000,NA,NA,53248000,171066000,95849000,165969000,161673000,178293000,208927000,208700000,162199000,238455000,163208000,104243000,182728000,192025000,212539000
"O14949","UQCRQ",360440000,340410000,314585000,298819000,393040000,280546000,485370000,375280000,390060000,579790000,498850000,356400000,441980000,372410000,385800000,450460000,387690000,485560000
"P19105;O14950","MYL12A;MYL12B",7.492e+09,8854900000,8548300000,11725100000,1.1744e+10,9892600000,10687300000,11049500000,10834200000,10712500000,9798600000,9350400000,10390300000,9529300000,10573300000,10479500000,10534600000,1.0702e+10
"O14958","CASQ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,63330000,NA,NA,587130000,460210000,531870000,1281780000,1155550000,1055400000
"O14964","HGS",1340610000,1182730000,1270440000,1184790000,1541920000,1105580000,1196630000,1239860000,1.152e+09,1327430000,1230810000,978260000,1214870000,1088270000,906460000,1198970000,1196900000,1226590000
"O14972","DSCR3",246772000,266692000,206374000,271378000,241105000,294316000,323360000,257034000,345600000,237455000,278381000,275842000,225620000,279663000,258219000,244317000,275697000,256457000
"O14974","PPP1R12A",3540500000,3106700000,3228820000,3069600000,3.58e+09,2982810000,3802500000,3.893e+09,3729700000,3929500000,3711400000,3260200000,3625700000,3105300000,2852980000,2877330000,2838210000,3286400000
"O14976","GAK",152829000,144283000,140271000,172904000,146074000,162418000,127070000,41048000,84344000,49843000,48516000,45487000,53457000,NA,NA,NA,NA,36045000
"O14979","HNRNPDL",3262100000,3853400000,4094400000,3650700000,3952200000,3642900000,3789500000,4196300000,4068500000,3925400000,3984900000,4266600000,3.731e+09,3631400000,3.871e+09,3418600000,3357400000,3252700000
"O14980","XPO1",5629600000,5932200000,5647900000,5848900000,6129700000,5875200000,6551600000,6779100000,6.92e+09,6203300000,6384900000,6274700000,5578100000,5468500000,5952900000,5366300000,5377500000,5298800000
"O14981","BTAF1",341860000,309350000,219930000,300566000,290479000,167042000,297596000,304313000,315354000,237338000,272655000,262699000,145550000,183327000,NA,73464000,117589000,NA
"O14983","ATP2A1",NA,NA,NA,NA,NA,36403000,73554000,NA,90425000,540740000,636270000,568890000,918550000,904150000,865300000,726660000,776520000,7.15e+08
"O15013","ARHGEF10",252253000,248006000,240074000,245322000,244951000,207107000,230108000,224674000,183723000,201907000,223699000,127244000,240002000,186822000,186185000,198129000,161109000,249727000
"O15027","SEC16A",886050000,641120000,694910000,823760000,878390000,876730000,874140000,873160000,802630000,896400000,800350000,771070000,993730000,963490000,875140000,979260000,920800000,1078430000
"O15031;O43157","PLXNB2",1156690000,1170860000,1187120000,1007730000,1006740000,1133940000,1447550000,1444730000,1395800000,1210600000,1198280000,1448520000,1086170000,1065560000,1086390000,1.003e+09,1008740000,1038450000
"O15042","U2SURP",1040550000,990480000,823390000,692220000,897720000,632770000,798650000,832450000,710980000,805370000,721080000,566970000,690320000,582380000,506080000,556230000,540250000,586490000
"O15067","PFAS",1525470000,1743080000,1760710000,1746240000,1616330000,1704730000,1550090000,1658680000,1643950000,1545800000,1631850000,1598240000,1398920000,1514630000,1535910000,1424860000,1416610000,1217800000
"O15075;O43602","DCLK1",NA,NA,NA,NA,17550800,NA,786330000,1011570000,939740000,1993560000,1889850000,2157380000,3825600000,3993900000,4041200000,6346500000,7036400000,7312100000
"O15084","ANKRD28",234700000,155712000,123854000,177166000,191573000,155825000,127686000,49769000,165230000,103996000,190883000,76609000,62148000,NA,NA,99828000,NA,26590000
"O15111","CHUK",36123000,28764000,25411000,46564000,48702000,25409000,46281000,33852000,27186000,51937000,32791000,26123000,28098000,34822000,27204000,25148000,21698800,27589000
"O15116","LSM1",212589000,180905000,210992000,142906000,154252000,149144000,154072000,134621000,64035000,35016000,125601000,158590000,68481000,127573000,32838000,94878000,141505000,30787000
"O15118","NPC1",93128000,86767000,55100000,62324000,77602000,NA,28034000,83066000,60436000,47877000,48476000,62761000,72760000,101555000,32620000,NA,121212000,NA
"O15121","DEGS1",68102000,110301000,110769000,167719000,NA,185184000,25606000,NA,103755000,NA,27923000,68704000,NA,29338000,70345000,NA,29754000,NA
"O15126","SCAMP1",317378000,292753000,267291000,404960000,448560000,291049000,312729000,343750000,306734000,281118000,281778000,241096000,293784000,214060000,218279000,293664000,309743000,272651000
"O15143","ARPC1B",3.933e+09,3.728e+09,3672300000,4647200000,4668200000,4838300000,3577500000,4290200000,4215300000,3602900000,3723100000,3603700000,2419970000,3016950000,3263800000,2452470000,2533100000,2379270000
"O15144","ARPC2",9519600000,8864400000,7949300000,8150900000,10615400000,7614900000,8338200000,8307500000,8173100000,8.539e+09,8106500000,6286100000,6981200000,5.706e+09,5783100000,6.137e+09,5703200000,6262800000
"O15145","ARPC3",3322200000,3263100000,2992680000,2622050000,2945340000,2510550000,2941330000,2904590000,2811900000,2803670000,2684620000,2405240000,2295100000,1944340000,2231600000,1989230000,2140360000,2230930000
"O15146","MUSK",NA,NA,NA,13853000,NA,NA,30376000,32772000,63565000,58839000,29293000,69074000,106689000,96677000,117629000,107238000,94882000,62807000
"O15160","POLR1C",409086000,424380000,422940000,335880000,425780000,369640000,374020000,384200000,375390000,358040000,351150000,422540000,351310000,327460000,323055000,282693000,301089000,287975000
"O15173","PGRMC2",868920000,1042790000,1221280000,1055420000,991680000,1200960000,968510000,956280000,978260000,864950000,930950000,1067070000,716590000,928640000,1075710000,909750000,983290000,807940000
"O15212","PFDN6",1138430000,1154020000,1180280000,1077730000,998100000,1137190000,894200000,868310000,927080000,937670000,946910000,1021620000,1014510000,1033440000,1137610000,1042900000,1009550000,1011910000
"O15213","WDR46",29325000,59327000,58562000,70429000,68632000,NA,26456000,23633000,19457000,66304000,70888000,NA,81169000,NA,NA,NA,NA,NA
"O15228","GNPAT",268965000,154229000,247194000,334453000,252436000,190120000,310010000,344310000,390039000,354680000,379337000,248115000,285560000,247976000,86433000,311156000,221907000,290894000
