"Protein.IDs","Gene.names","LFQ.intensity_Day-1_Rep1","LFQ.intensity_Day-1_Rep2","LFQ.intensity_Day-1_Rep3","LFQ.intensity_Day0_Rep1","LFQ.intensity_Day0_Rep2","LFQ.intensity_Day0_Rep3","LFQ.intensity_Day1_Rep1","LFQ.intensity_Day1_Rep2","LFQ.intensity_Day1_Rep3","LFQ.intensity_Day2_Rep1","LFQ.intensity_Day2_Rep2","LFQ.intensity_Day2_Rep3","LFQ.intensity_Day3_Rep1","LFQ.intensity_Day3_Rep2","LFQ.intensity_Day3_Rep3","LFQ.intensity_Day4_Rep1","LFQ.intensity_Day4_Rep2","LFQ.intensity_Day4_Rep3"
"Q9UI12","ATP6V1H",7.98e+08,768790000,769390000,748430000,758220000,746800000,719110000,644260000,777830000,692870000,761520000,671130000,677170000,656280000,680900000,6.83e+08,730900000,579720000
"Q9UI26","IPO11",140724000,161067000,180113000,160110000,136657000,179254000,176428000,137111000,148179000,126713000,132866000,157138000,109620000,133079000,121206000,73206000,90339000,122593000
"Q9UI30","TRMT112",1127070000,1183970000,1075060000,1137540000,1126270000,971670000,1083530000,966430000,983400000,1045300000,1084200000,688600000,1009350000,957340000,812910000,858900000,709860000,993650000
"Q9UIA9","XPO7",331710000,345990000,366210000,337930000,301619000,324990000,463740000,451040000,405550000,453720000,469150000,488390000,446470000,392800000,456300000,383100000,405350000,427590000
"Q9UIC8","LCMT1",114823000,109374000,71846000,110028000,124088000,94395000,140009000,123189000,129292000,138189000,130944000,83287000,100999000,123593000,114609000,124372000,127175000,139980000
"Q9UID3","VPS51",150131000,120532000,153482000,123745000,112693000,152650000,117754000,108857000,131632000,115098000,121861000,147829000,126639000,132185000,159514000,151842000,158351000,126337000
"Q9UIG0","BAZ1B",236774000,286138000,267273000,283927000,253751000,276027000,263788000,268410000,253223000,232685000,199863000,216450000,191254000,168309000,88410000,132437000,130129000,158303000
"Q9UII2","ATPIF1",85708000,279418000,461828000,57365000,45158300,170681000,70358000,102558000,115253000,84443000,86688400,295900000,152478000,132516000,60912000,244012000,218080000,107717000
"Q9UIJ7","AK3",665170000,769190000,725300000,676630000,796650000,683500000,1067360000,1247920000,1036910000,1458880000,1459320000,1264260000,1423030000,1189710000,1028310000,1200310000,1131900000,1284350000
"Q9UIQ6","LNPEP",249714000,284976000,261490000,217495000,234110000,227933000,146138000,168057000,163309000,152781000,170034000,125596000,212027000,252099000,242327000,211414000,209738000,204351000
"Q9UIW2","PLXNA1",104692000,148210000,92359000,199854000,168821000,146781000,222037000,160999000,174676000,238691000,279744000,216732000,341240000,320122000,313990000,320126000,296442000,325684000
"Q9UJ41","RABGEF1",130125000,78507000,45010000,40323000,42116000,82620000,NA,75523000,38830000,80993000,83523000,NA,NA,79478000,35025000,NA,35088000,131769000
"Q9UJ68","MSRA",176092000,276303000,256221000,234665000,260977000,196448000,223939000,245445000,214708000,64267000,241288000,209511000,141962000,120501000,159749000,183363000,69298000,182051000
"Q9UJ70","NAGK",3323600000,3351900000,3193200000,3439300000,3400500000,3176100000,3064270000,3113730000,3239900000,2891860000,2909490000,2651960000,2443430000,2479200000,2447830000,2508620000,2478580000,2744590000
"Q9UJ83","HACL1",92836000,NA,83082000,39511000,79932000,68951000,36690000,NA,NA,37224000,65041000,NA,26005000,NA,24343000,NA,NA,NA
"Q9UJA5","TRMT6",270522000,270542000,199139000,216130000,262063000,202011000,241816000,196232000,231379000,219104000,228386000,175052000,135915000,170659000,150265000,155535000,160458000,173755000
"Q9UJF2","RASAL2",36028000,34486000,25636000,40505000,41775000,45518000,33386300,27547100,29069800,21031200,6839900,23789000,24415800,27783600,21400500,27791100,24978800,35927000
"Q9UJM3","ERRFI1",147130000,191251000,194827000,208418000,149197000,213141000,NA,NA,NA,NA,31545000,NA,NA,49373000,NA,NA,NA,NA
"Q9UJS0","SLC25A13",182891000,208525000,178660000,210060000,171051000,199618000,191911000,183997000,210499000,188632000,166161000,230742000,190970000,174814000,189821000,180736000,201297000,179963000
"Q9UJU6","DBNL",2274620000,2207420000,2222830000,2360640000,2111410000,2376560000,2532610000,2327700000,2324870000,2042650000,2212240000,2138720000,1966480000,2085610000,1936610000,1961440000,1893350000,1932130000
"Q9UJW0","DCTN4",863800000,676560000,788910000,791290000,693960000,836270000,653960000,683820000,733820000,700710000,744130000,818240000,665090000,727420000,795800000,733330000,703170000,662830000
"Q9UJX2","CDC23",99300000,88139000,86291000,70071000,75894000,76371000,76910000,88716000,76825000,70289000,76388000,38609000,73358000,58223000,38976000,57859000,67695000,78116000
"Q9UJX3","ANAPC7",199619000,217442000,197605000,174309000,189985000,165767000,156222000,157485000,149604000,151385000,169671000,132038000,152801000,147107000,100663000,158549000,106740000,159533000
"Q9UJY1","HSPB8",129692000,141406000,120829000,144090000,172598000,127301000,189695000,230750000,159904000,658460000,593560000,455330000,979420000,917490000,828090000,966140000,911730000,912380000
"Q9UJY4","GGA2",34541000,NA,NA,NA,45795000,NA,NA,37412000,43953000,91624000,137031000,66814000,157173000,59077000,239296000,NA,NA,108010000
"Q9UJY5","GGA1",38772000,NA,46839000,41336000,31098000,NA,NA,NA,NA,NA,NA,NA,NA,41425000,36025000,46477000,36680000,NA
"Q9UJZ1","STOML2",2193960000,2.252e+09,2143760000,1986760000,1913550000,1874110000,2468320000,2551250000,2573300000,2486900000,2427180000,2358400000,2382800000,2421100000,2191010000,2307020000,2349810000,2337440000
"Q9UK41","VPS28",970800000,772070000,853710000,808680000,997190000,807170000,1082290000,1125130000,954910000,1194500000,1052020000,923610000,1286770000,1069040000,998650000,1192880000,1124960000,1251880000
"Q9UK76","HN1",4536300000,4851200000,4.621e+09,4.171e+09,4916100000,3913800000,4683300000,4447700000,4009500000,7187400000,6529800000,5666700000,9361700000,8989900000,7955200000,8705400000,7196200000,9.407e+09
"Q9UKD2","MRTO4",725520000,712840000,797440000,703540000,729720000,665090000,686410000,661850000,743740000,629720000,799970000,529040000,491210000,478960000,520620000,486610000,441230000,469020000
"Q9UKF6","CPSF3",495920000,500840000,502640000,429650000,457060000,447930000,472630000,466870000,4e+08,439710000,417210000,405110000,385680000,318934000,351694000,308756000,254424000,295978000
"Q9UKG1","APPL1",573760000,541010000,568240000,601260000,627230000,657300000,740950000,663380000,689520000,815460000,805250000,800740000,865640000,839910000,784720000,785160000,779130000,747610000
"Q9UKI2","CDC42EP3",786270000,730900000,725940000,579330000,649490000,607780000,389620000,398360000,364490000,226893000,231482000,252621000,107418000,153371000,180034000,182867000,133222000,150140000
"Q9UKK3","PARP4",784160000,858610000,842090000,814890000,722400000,707080000,548900000,590720000,667290000,565680000,544080000,580900000,487780000,530490000,545760000,649860000,558690000,599880000
"Q9UKK9","NUDT5",1983930000,2273450000,2249050000,2178800000,2417480000,2145520000,2687660000,2534830000,2502210000,2396160000,2404660000,2036540000,1881300000,1760300000,1696710000,1626190000,1514490000,1578090000
"Q9UKL0","RCOR1",148455000,NA,166411000,248754000,149794000,83538000,161312000,293560000,250135000,230795000,173551000,NA,135524000,79309000,NA,NA,132758000,83204000
"Q9UKM7","MAN1B1",54537000,91811000,99154000,74779000,34638100,87929000,81201000,65872000,70262000,43750000,44813800,52509000,34186000,66904000,57250000,48565000,86860000,91237000
"Q9UKM9","RALY",2339250000,1871460000,1806250000,1813360000,2369090000,1885580000,2317890000,2258030000,2148440000,2798070000,2558540000,1935450000,2548930000,2152800000,2194480000,2351030000,2159740000,2455130000
"Q9UKN8","GTF3C4",55602000,NA,53490000,30316000,29746000,34503000,75072000,NA,60421000,NA,36330000,34399000,NA,NA,53889000,NA,NA,NA
"Q9UKP3","ITGB1BP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,206458000,174405000,192624000,465440000,481450000,461780000,419850000,342301000,421090000
"Q9UKV3","ACIN1",1986620000,1898560000,1836140000,2003400000,2087840000,1839740000,2362490000,2528090000,2526530000,2344660000,2153950000,2130540000,2021780000,1922600000,1784320000,1812670000,1738550000,1782620000
"Q9UKV8;Q9HCK5","AGO2",353880000,339535000,278813000,355020000,383570000,356240000,384220000,378710000,353470000,450660000,436500000,347360000,446380000,398910000,346760000,425300000,322070000,425570000
"Q9UKX2","MYH2",14851200,11313600,17206500,9003500,9030200,7453500,5319300,8318400,2990000,900040000,783690000,804810000,24997900000,11991500000,20946700000,28532400000,1.5228e+10,22798200000
"Q9UKX3","MYH13",NA,NA,NA,NA,NA,NA,NA,NA,NA,84478000,87681000,NA,186580000,588740000,567480000,636440000,834760000,415050000
"Q9UKX5","ITGA11",266757000,237988000,217481000,262174000,247724000,237764000,91015000,176643000,35920000,224837000,201801000,47927000,321170000,290876000,271714000,658610000,546050000,649970000
"Q9UKX7","NUP50",200055000,248376000,260931000,147150000,311715000,167704000,255372000,226439000,53329000,218945000,151614000,NA,NA,NA,NA,NA,NA,NA
"Q9UKY7","CDV3",8436200000,7714800000,7698100000,8.373e+09,8.89e+09,7238400000,6947900000,7220100000,6455600000,8822300000,8668800000,6356900000,10303100000,9082300000,7790800000,8919500000,8653400000,10338900000
"Q9UKZ1","CNOT11",69608000,92011000,53971000,94802000,108984000,94167000,26725000,89487000,52784000,44945000,44969000,32796000,32534000,46410000,83401000,87438000,79636000,69737000
"Q9UL12","SARDH",139271000,80824000,193828000,142379000,229101000,160520000,464383000,329777000,295515000,506550000,449480000,473250000,660324000,397610000,356790000,394450000,387440000,524850000
"Q9UL15","BAG5",334420000,361170000,362620000,394570000,409310000,344280000,344510000,283415000,304664000,375550000,330950000,326358000,294606000,321093000,326390000,274038000,285531000,276950000
"Q9UL18","AGO1",NA,NA,12246000,14570000,NA,NA,29510000,NA,46208000,13458000,12743000,11281000,NA,37920000,16726000,20525000,11427000,12629000
"Q9UL25","RAB21",750720000,824180000,787060000,895780000,888550000,848730000,595170000,521570000,635890000,627140000,639060000,702720000,747950000,756430000,778160000,789600000,834220000,860970000
"Q9UL26","RAB22A",152370000,139684000,149265000,150487000,195160000,150415000,173916000,148048000,182807000,142981000,135579000,163729000,154887000,110816000,113043000,92826000,35176000,71738000
"Q9UL46","PSME2",2446950000,2672540000,2550040000,3363700000,3439300000,3264800000,4143400000,3659300000,3916300000,3760100000,3877900000,3729300000,3859700000,3976900000,3729200000,4165100000,4188400000,4169500000
"Q9ULA0","DNPEP",616420000,612850000,555700000,419400000,571390000,479740000,672400000,639310000,662630000,649530000,781740000,601700000,669490000,557110000,561160000,658750000,575310000,706610000
"Q9ULC3","RAB23",696970000,603450000,644230000,1874480000,804990000,1055840000,544690000,565680000,700770000,639420000,611460000,745470000,685710000,2258320000,1478930000,1106580000,899360000,1212420000
"Q9ULC4","MCTS1",1458180000,1335110000,1189590000,1228740000,1452710000,1119940000,1253530000,1283330000,1148600000,1257960000,1200800000,1152390000,1325090000,1158810000,1106350000,1498410000,1350710000,1393150000
"Q9ULF5","SLC39A10",12525000,NA,10052000,16646000,26969000,22118700,12183000,19934000,NA,NA,12370000,NA,NA,NA,NA,NA,NA,NA
"Q9ULH0","KIDINS220",NA,NA,24453000,NA,29528000,20928000,NA,NA,NA,NA,34608000,16218000,NA,NA,28348000,NA,NA,NA
"Q9ULH1","ASAP1",154676000,175706000,55467000,168100000,160726000,110893000,189128000,165247000,140200000,151681000,48083000,133173000,133417000,138992000,84736000,NA,110562000,NA
"Q9ULK4","MED23",82954000,23069000,51185000,NA,48199000,20888000,41453000,NA,16606000,22667000,44877000,NA,24437000,29854000,NA,NA,NA,35899000
"Q9ULP9","TBC1D24",NA,NA,NA,48897000,NA,53438000,NA,NA,NA,NA,67980000,61998000,NA,72021000,94892000,40886000,41316000,NA
